slide_submitter_id	proximity	pair (comparison)
TCGA-QB-AA9O-06A-01-TS1	0.42436612239479626	CAFs-CAFs (low-low)
TCGA-QB-AA9O-06A-01-TS1	0.08058608058608059	T_cells-T_cells (low-low)
TCGA-QB-AA9O-06A-01-TS1	0.22351185541369592	endothelial_cells-endothelial_cells (low-low)
TCGA-QB-AA9O-06A-01-TS1	0.0	tumor_purity-tumor_purity (low-low)
TCGA-QB-AA9O-06A-01-TS1	0.4427274114774115	T_cells-T_cells (low-high)
TCGA-QB-AA9O-06A-01-TS1	0.4438994428872971	tumor_purity-tumor_purity (low-high)
TCGA-QB-AA9O-06A-01-TS1	0.044444444444444446	T_cells-T_cells (high-high)
TCGA-QB-AA9O-06A-01-TS1	0.15157492080569004	tumor_purity-tumor_purity (high-high)
TCGA-EE-A2M8-06A-01-TS1	0.0	CAFs-CAFs (low-low)
TCGA-EE-A2M8-06A-01-TS1	0.0	endothelial_cells-endothelial_cells (low-low)
TCGA-EE-A2M8-06A-01-TS1	0.37827887712839386	tumor_purity-tumor_purity (low-low)
TCGA-EE-A2M8-06A-01-TS1	0.3096646345566367	CAFs-CAFs (low-high)
TCGA-EE-A2M8-06A-01-TS1	0.20008890017780034	endothelial_cells-endothelial_cells (low-high)
TCGA-EE-A2M8-06A-01-TS1	0.170343137254902	CAFs-CAFs (high-high)
TCGA-EE-A2M8-06A-01-TS1	0.24208118925100056	T_cells-T_cells (high-high)
TCGA-EE-A2M8-06A-01-TS1	0.3760162601626016	endothelial_cells-endothelial_cells (high-high)
TCGA-EE-A2MH-06A-01-TSA	0.2572463768115942	CAFs-CAFs (low-low)
TCGA-EE-A2MH-06A-01-TSA	0.03225806451612903	T_cells-T_cells (low-low)
TCGA-EE-A2MH-06A-01-TSA	0.5495726495726495	tumor_purity-tumor_purity (low-low)
TCGA-EE-A2MH-06A-01-TSA	0.3814814814814815	CAFs-CAFs (low-high)
TCGA-EE-A2MH-06A-01-TSA	0.5313390313390314	T_cells-T_cells (low-high)
TCGA-EE-A2MH-06A-01-TSA	0.12195121951219512	endothelial_cells-endothelial_cells (low-high)
TCGA-EE-A2MH-06A-01-TSA	0.32379862700228834	tumor_purity-tumor_purity (low-high)
TCGA-EE-A2MH-06A-01-TSA	0.05185185185185185	CAFs-CAFs (high-high)
TCGA-EE-A2MH-06A-01-TSA	0.28062678062678065	T_cells-T_cells (high-high)
TCGA-EE-A2MH-06A-01-TSA	0.597227214377407	endothelial_cells-endothelial_cells (high-high)
TCGA-EE-A2MH-06A-01-TSA	0.0	tumor_purity-tumor_purity (high-high)
TCGA-FS-A1ZF-06A-01-TS1	0.0	CAFs-CAFs (low-low)
TCGA-FS-A1ZF-06A-01-TS1	0.35740089362106664	T_cells-T_cells (low-low)
TCGA-FS-A1ZF-06A-01-TS1	0.07956989247311828	endothelial_cells-endothelial_cells (low-low)
TCGA-FS-A1ZF-06A-01-TS1	0.0	tumor_purity-tumor_purity (low-low)
TCGA-FS-A1ZF-06A-01-TS1	0.19665687733837553	CAFs-CAFs (low-high)
TCGA-FS-A1ZF-06A-01-TS1	0.13271221532091096	T_cells-T_cells (low-high)
TCGA-FS-A1ZF-06A-01-TS1	0.28034647550776587	endothelial_cells-endothelial_cells (low-high)
TCGA-FS-A1ZF-06A-01-TS1	0.2685453359425962	tumor_purity-tumor_purity (low-high)
TCGA-FS-A1ZF-06A-01-TS1	0.13099064922964293	CAFs-CAFs (high-high)
TCGA-FS-A1ZF-06A-01-TS1	0.0	T_cells-T_cells (high-high)
TCGA-FS-A1ZF-06A-01-TS1	0.006006006006006006	endothelial_cells-endothelial_cells (high-high)
